time,title,intro
2014-05-20 15:51,义跑，助学广西山区,"    （暨大新闻社记者/黄嘉伟）5月15日，暨大“义跑，助学广西山区”活动在校本部举行。作为暨大校团委经营了8年的传统志愿服务品牌项目，今年的广西爱心助学首次搭载“color run”形式，既延续了往年的爱心传统，又以新颖方式吸引了更多师生参与其中。

“第一次”！ “很好玩很有…"
2014-05-13 22:49,风雨兼程二十载 爱国之心永不变,"    5月的清晨，朝阳初上，图书馆前的国旗台红旗迎风招展。嘹亮激越的口号，慷慨激昂；整齐划一的踏步，雄姿勃发。回首间，暨南大学国旗护卫队已走过风雨二十载。
既然选择守护 便只顾风雨兼程
    “责任，荣誉，忠诚”这是暨南大学国旗护卫队队训精神。
    每个周一的清晨，暨南园国旗飘扬的图书馆广场上…"
2014-05-12 18:06,母校的明天一定会更美好," 
    5月7日晚，我校2014年优秀学生访澳团一行39人圆满结束为期4天的参访活动，顺利返校。在马有恒会长及广大澳门校友的关心和大力支持下，本次访澳活动内容丰富、行程紧凑，反响热烈，收获颇丰。
 
校友们的热情令人感动
 
    “马有恒会长邀请我校优秀学生访问澳门已经是第22个年头”，出发前，当同学…"
,,
,,
2014-05-06 09:39,天上掉下个“暨妹妹”,一个不加V的非官方微博却拥有高达3万的粉丝量； 一个拥有百宝袋的神秘“暨妹妹”； 一个集特立独行、乐善好施、八卦卖萌多重风格于一体的信息发布平台； 她，就是“@暨南大学暨南人网”。 
2014-04-08 15:50,D:FUSE杯暨南大学第二届主持人大赛报名火热进行中,"聚焦话筒，舞台完备灯光就绪；

声动暨南，四区齐聚精彩汇集；

任何专业，不限年级，只要怀有主持梦，比赛的大门向你敞开！报名火热进行中！

 


冠军奖获得价值3000元的奖品，决赛选手赛前将会得到一线主持人或播音员的专业指导，还有机会代表学校参加多校联合的“Mic dream” 主持人大赛。

 
主办…"
time,title,intro
2017-12-29 09:03,褚春天：暨南精神在军营里的实践者,"大学生应征入伍，是怎样的体验？在拥有5万多名学子的暨南园中，褚春天，成为了一抹鲜亮的风景。
		“阳光、帅气、有担当”，是我校学工部部长区向丽见到褚春天的第一印象，这位我校体育学院2014级本科学生，于2016年9月20日，响应国家号召，来到了武警某师，成为了一名新兵。短短三个月，他便拿到了“最美新兵”“爱军习…"
2017-12-27 16:34,第六届优秀学子奖励计划“学习之星”“风尚之星”答辩,"12月1日，第六届5A卓越引领计划之优秀学子奖励计划“学习之星”、“风尚之星”答辩会于校本部学术报告厅举行。两场答辩会由学生处主办，理工学院承办，学校、各校区相关职能部门领导担任两场答辩会的专家评委，各学院主管学生工作领导和辅导员老师担任学院评委。
		
				学习之星：“勤奋好学，砥砺前行”
		
		“学…"
